key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name,trials_2.order
,,,,,,,,,,,,,FF,,,,,,,,1.7406,,,,,,,,,,,,,,,,,,,,,,6103145ca84c21e92682d6cf,6103700653b06843ea592137,2021-07-29_23h22.45.324,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,546,-98.5234375,-41.171875,1,0,0,response5disk,,2,-10.0703125,-9.7421875,1,0,0,rectangle,-10.0703125,-9.7421875,1,0,0,-10.0703125,-9.7421875,1,0,0,0,23,23,32,1,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.3035,,,,,,,,,,,,,,,,,,,,,,6103145ca84c21e92682d6cf,6103700653b06843ea592137,2021-07-29_23h22.45.324,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3214,55.06640625,111.8867188,1,0,0,response1disk,,7,-3.21484375,-4.86328125,1,0,0,rectangle,-3.21484375,-4.86328125,1,0,0,-3.21484375,-4.86328125,1,0,0,0,24,24,102,1,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2536,,,,,,,,,,,,,,,,,,,,,,6103145ca84c21e92682d6cf,6103700653b06843ea592137,2021-07-29_23h22.45.324,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1816,-54.24609375,88.8359375,1,0,0,response7disk,,0,1.03125,3.4609375,1,0,0,rectangle,1.03125,3.4609375,1,0,0,1.03125,3.4609375,1,0,0,0,25,25,1,1,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,7.1858,,,,,,,,,,,,,,,,,,,,,,6103145ca84c21e92682d6cf,6103700653b06843ea592137,2021-07-29_23h22.45.324,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2155,46.5078125,84.34375,1,0,0,response1disk,,7,9.21484375,-8.96875,1,0,0,rectangle,9.21484375,-8.96875,1,0,0,9.21484375,-8.96875,1,0,0,0,26,26,64,1,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.7066,,,,,,,,,,,,,,,,,,,,,,6103145ca84c21e92682d6cf,6103700653b06843ea592137,2021-07-29_23h22.45.324,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,872,65.02734375,-117.5,1,0,0,response3disk,,4,-8.83984375,-7.765625,1,0,0,rectangle,-8.83984375,-7.765625,1,0,0,-8.83984375,-7.765625,1,0,0,0,27,27,76,1,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.1539,,,,,,,,,,,,,,,,,,,,,,6103145ca84c21e92682d6cf,6103700653b06843ea592137,2021-07-29_23h22.45.324,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3348,33.00390625,98.80859375,1,0,0,response1disk,,7,10.6875,8.671875,1,0,0,rectangle,10.6875,8.671875,1,0,0,10.6875,8.671875,1,0,0,0,28,28,91,1,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.9864,,,,,,,,,,,,,,,,,,,,,,6103145ca84c21e92682d6cf,6103700653b06843ea592137,2021-07-29_23h22.45.324,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2258,30.47265625,74.76953125,1,0,0,response1disk,,7,4.86328125,-8.21875,1,0,0,rectangle,4.86328125,-8.21875,1,0,0,4.86328125,-8.21875,1,0,0,0,29,29,73,1,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.9362,,,,,,,,,,,,,,,,,,,,,,6103145ca84c21e92682d6cf,6103700653b06843ea592137,2021-07-29_23h22.45.324,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,662,43.08203125,98.37890625,1,0,0,response1disk,,7,4.4140625,-4.41015625,1,0,0,rectangle,-69.0234375,-36.47265625,1,0,0,13.0390625,4.7578125,1,0,0,0,30,30,16,1,,response5disk_3,TRUE,2,2,"[76,202,155,250,316,17,292,320,307,111,257,112,313,73,31,181,121,303,151,300]",1.9052,rectangle,
,,,,,,,,,,,,,FF,,,,,,,,0.8527,,,,,,,,,,,,,,,,,,,,,,6103145ca84c21e92682d6cf,6103700653b06843ea592137,2021-07-29_23h22.45.324,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2576,38.421875,90.3125,1,0,0,response1disk,,7,2.10546875,-7.5703125,1,0,0,rectangle,2.10546875,-7.5703125,1,0,0,2.10546875,-7.5703125,1,0,0,0,31,31,54,1,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.2757,,,,,,,,,,,,,,,,,,,,,,6103145ca84c21e92682d6cf,6103700653b06843ea592137,2021-07-29_23h22.45.324,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3664,42.33203125,92.51171875,1,0,0,response1disk,,7,7.49609375,-2.71875,1,0,0,rectangle,7.49609375,-2.71875,1,0,0,7.49609375,-2.71875,1,0,0,0,32,32,2,1,,,,,,,,,
