key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1
,,,,,,,,,,,,,FF,,,,,,,,1.0845,,,,,,,,,,,,,,,,,,,,,,610061db544105dd7a6ede2c,61036dc7d8f897a2c9ba30f7,2021-07-29_20h11.41.541,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1000,62.050354,48.67828369,1,0,0,response1disk,,6,-1.980712891,-4.630249023,1,0,0,rectangle,-1.980712891,-4.630249023,1,0,0,-1.980712891,-4.630249023,1,0,0,0,23,23,130,1,
,,,,,,,,,,,,,FF,,,,,,,,0.7836,,,,,,,,,,,,,,,,,,,,,,610061db544105dd7a6ede2c,61036dc7d8f897a2c9ba30f7,2021-07-29_20h11.41.541,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2164,-35.8494873,79.9664917,1,0,0,response7disk,,0,-5.506713867,13.93237305,1,0,0,rectangle,-5.506713867,13.93237305,1,0,0,-5.506713867,13.93237305,1,0,0,0,24,24,17,1,
,,,,,,,,,,,,,FF,,,,,,,,0.7333,,,,,,,,,,,,,,,,,,,,,,610061db544105dd7a6ede2c,61036dc7d8f897a2c9ba30f7,2021-07-29_20h11.41.541,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2730,-66.51580811,-42.48400879,1,0,0,response5disk,,2,10.04162598,-7.000915527,1,0,0,rectangle,10.04162598,-7.000915527,1,0,0,10.04162598,-7.000915527,1,0,0,0,25,25,46,1,
,,,,,,,,,,,,,FF,,,,,,,,1.1667,,,,,,,,,,,,,,,,,,,,,,610061db544105dd7a6ede2c,61036dc7d8f897a2c9ba30f7,2021-07-29_20h11.41.541,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3424,52.793396,-80.02294922,1,0,0,response3disk,,4,-8.292297363,-4.140869141,1,0,0,rectangle,-8.292297363,-4.140869141,1,0,0,-8.292297363,-4.140869141,1,0,0,0,26,26,77,1,
,,,,,,,,,,,,,FF,,,,,,,,0.6828,,,,,,,,,,,,,,,,,,,,,,610061db544105dd7a6ede2c,61036dc7d8f897a2c9ba30f7,2021-07-29_20h11.41.541,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3124,45.41552734,79.89498901,1,0,0,response1disk,,7,6.338439941,-8.873962402,1,0,0,rectangle,6.338439941,-8.873962402,1,0,0,6.338439941,-8.873962402,1,0,0,0,27,27,133,1,
,,,,,,,,,,,,,FF,,,,,,,,1.0834,,,,,,,,,,,,,,,,,,,,,,610061db544105dd7a6ede2c,61036dc7d8f897a2c9ba30f7,2021-07-29_20h11.41.541,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1222,-64.01739502,-48.37841797,1,0,0,response5disk,,2,14.08129883,1.492156982,1,0,0,rectangle,14.08129883,1.492156982,1,0,0,14.08129883,1.492156982,1,0,0,0,28,28,125,1,
,,,,,,,,,,,,,FF,,,,,,,,0.8005,,,,,,,,,,,,,,,,,,,,,,610061db544105dd7a6ede2c,61036dc7d8f897a2c9ba30f7,2021-07-29_20h11.41.541,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1854,-86.26879883,-44.54760742,1,0,0,response5disk,,2,-1.041503906,-11.85803223,1,0,0,rectangle,-1.041503906,-11.85803223,1,0,0,-1.041503906,-11.85803223,1,0,0,0,29,29,67,1,
,,,,,,,,,,,,,FF,,,,,,,,0.5834,,,,,,,,,,,,,,,,,,,,,,610061db544105dd7a6ede2c,61036dc7d8f897a2c9ba30f7,2021-07-29_20h11.41.541,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,209,70.09973145,38.23205566,1,0,0,response1disk,,6,-6.725524902,-12.45678711,1,0,0,rectangle,-6.725524902,-12.45678711,1,0,0,-6.725524902,-12.45678711,1,0,0,0,30,30,152,1,
,,,,,,,,,,,,,FF,,,,,,,,0.7669,,,,,,,,,,,,,,,,,,,,,,610061db544105dd7a6ede2c,61036dc7d8f897a2c9ba30f7,2021-07-29_20h11.41.541,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,357,18.86572266,97.56454468,1,0,0,response1disk,,7,-0.699279785,-2.985595703,1,0,0,rectangle,-0.699279785,-2.985595703,1,0,0,-0.699279785,-2.985595703,1,0,0,0,31,31,87,1,
,,,,,,,,,,,,,FF,,,,,,,,2.3838,,,,,,,,,,,,,,,,,,,,,,610061db544105dd7a6ede2c,61036dc7d8f897a2c9ba30f7,2021-07-29_20h11.41.541,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2649,72.08636475,16.51800537,1,0,0,response1disk,,6,21.55780029,2.005004883,1,0,0,rectangle,21.55780029,2.005004883,1,0,0,21.55780029,2.005004883,1,0,0,0,32,32,90,1,
,,,,,,,,,,,,,FF,,,,,,,,0.8336,,,,,,,,,,,,,,,,,,,,,,610061db544105dd7a6ede2c,61036dc7d8f897a2c9ba30f7,2021-07-29_20h11.41.541,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2490,-33.78967285,-69.38812256,1,0,0,response5disk,,3,22.18041992,-4.555389404,1,0,0,rectangle,22.18041992,-4.555389404,1,0,0,22.18041992,-4.555389404,1,0,0,0,33,33,155,1,
