"","firstColour","secondColour","value"
"256","#B06079","#E67E72",2.57142857142857
"257","#B06079","#E83406",2.8125
"258","#B06079","#A25739",2.85714285714286
"259","#B06079","#A51A01",1.25
"260","#B06079","#782918",3.25
"261","#B06079","#F699A1",1.8
"262","#B06079","#E26164",1.70833333333333
"263","#B06079","#D2797D",1.2
"264","#B06079","#DA0B27",2.33333333333333
"265","#B06079","#96484B",1.8
"266","#B06079","#9B081A",2.375
"267","#B06079","#591D1F",2.60714285714286
"268","#B06079","#010300",5.83333333333333
"269","#B06079","#293028",4.375
"270","#B06079","#595F51",4.77777777777778
"271","#B06079","#5D6355",3.5
"272","#B06079","#7E8274",4.45
"273","#B06079","#9DA193",4.65
"274","#B06079","#B4BAAC",4
"275","#B06079","#D8DACD",5
"276","#B06079","#F6F7F1",4.3
"277","#9C1C53","#9C1C53",0.666666666666667
"278","#9C1C53","#7C3D4E",2.25
"279","#9C1C53","#7D0B45",1.5
"280","#9C1C53","#52253C",2.44444444444444
"281","#9C1C53","#B28AB7",3.41666666666667
"282","#9C1C53","#8F5AA8",3
"283","#9C1C53","#8B5F92",2.94444444444444
"284","#9C1C53","#642B7C",3.83333333333333
"285","#9C1C53","#5D4263",2.8
"286","#9C1C53","#430F59",3.95
"287","#9C1C53","#331F3B",3.45
"288","#9C1C53","#9796C0",3.7
"289","#9C1C53","#7171C9",4.71428571428571
"290","#9C1C53","#716B92",4
"291","#9C1C53","#39319E",3.45454545454545
"292","#9C1C53","#4E486C",3.75
"293","#9C1C53","#261D6E",4.66666666666667
"294","#9C1C53","#171639",4.83333333333333
"295","#9C1C53","#86A2C9",3.85714285714286
"296","#9C1C53","#427AC4",5.71428571428571
"297","#9C1C53","#5F7AA7",3.85714285714286
"298","#9C1C53","#0C4FA2",4.86363636363636
"299","#9C1C53","#3F597A",4.45
"300","#9C1C53","#022C88",5
"301","#9C1C53","#032040",4.5
"302","#9C1C53","#73B7C3",5.85714285714286
"303","#9C1C53","#3394B7",4.42857142857143
"304","#9C1C53","#5891A2",5.5
"305","#9C1C53","#02529A",5.22222222222222
"306","#9C1C53","#2F2874",4.72222222222222
"307","#9C1C53","#03406F",4.57142857142857
"308","#9C1C53","#09384C",4.75
"309","#9C1C53","#8DCFC1",5.64285714285714
"310","#9C1C53","#41A79A",5.3125
"311","#9C1C53","#68A899",4.83333333333333
